Epoch 1/20:   0%|                                                                                | 0/46 [00:00<?, ?it/s]/data1/yasir/envs/tensor/lib/python3.7/site-packages/torch/nn/modules/loss.py:101: UserWarning: Using a target size (torch.Size([16, 3, 128, 128])) that is different to the input size (torch.Size([16, 1, 128, 128])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.l1_loss(input, target, reduction=self.reduction)
Epoch 1/20: 100%|████████████████████████████████| 46/46 [00:51<00:00,  1.12s/it, grad=0.206, loss=0.7019, ssim_m=0.659]
Epoch 2/20: 100%|████████████████████████████████| 46/46 [00:50<00:00,  1.09s/it, grad=0.156, loss=0.5525, ssim_m=0.484]
Epoch 3/20: 100%|████████████████████████████████| 46/46 [00:50<00:00,  1.09s/it, grad=0.144, loss=0.4696, ssim_m=0.414]
Epoch 4/20: 100%|████████████████████████████████| 46/46 [00:50<00:00,  1.09s/it, grad=0.121, loss=0.4460, ssim_m=0.355]
Epoch 5/20: 100%|████████████████████████████████| 46/46 [00:50<00:00,  1.09s/it, grad=0.125, loss=0.4180, ssim_m=0.326]
Epoch 6/20: 100%|████████████████████████████████| 46/46 [00:49<00:00,  1.08s/it, grad=0.121, loss=0.3955, ssim_m=0.345]
Epoch 7/20: 100%|████████████████████████████████| 46/46 [00:49<00:00,  1.09s/it, grad=0.119, loss=0.3751, ssim_m=0.324]
Epoch 8/20: 100%|████████████████████████████████| 46/46 [00:50<00:00,  1.09s/it, grad=0.115, loss=0.3634, ssim_m=0.315]
Epoch 9/20: 100%|████████████████████████████████| 46/46 [00:50<00:00,  1.09s/it, grad=0.107, loss=0.3537, ssim_m=0.270]
Epoch 10/20: 100%|███████████████████████████████| 46/46 [00:50<00:00,  1.09s/it, grad=0.118, loss=0.3610, ssim_m=0.304]
Epoch 11/20: 100%|███████████████████████████████| 46/46 [00:49<00:00,  1.08s/it, grad=0.113, loss=0.3503, ssim_m=0.284]
Epoch 12/20: 100%|███████████████████████████████| 46/46 [00:49<00:00,  1.09s/it, grad=0.109, loss=0.3482, ssim_m=0.298]
Epoch 13/20: 100%|███████████████████████████████| 46/46 [00:50<00:00,  1.09s/it, grad=0.106, loss=0.3383, ssim_m=0.271]
Epoch 14/20: 100%|███████████████████████████████| 46/46 [00:50<00:00,  1.09s/it, grad=0.100, loss=0.3361, ssim_m=0.254]
Epoch 15/20: 100%|███████████████████████████████| 46/46 [00:50<00:00,  1.09s/it, grad=0.119, loss=0.3422, ssim_m=0.326]
Epoch 16/20: 100%|███████████████████████████████| 46/46 [00:49<00:00,  1.08s/it, grad=0.121, loss=0.3395, ssim_m=0.316]
Epoch 17/20: 100%|███████████████████████████████| 46/46 [00:49<00:00,  1.08s/it, grad=0.106, loss=0.3360, ssim_m=0.260]
Epoch 18/20: 100%|███████████████████████████████| 46/46 [00:50<00:00,  1.10s/it, grad=0.097, loss=0.3338, ssim_m=0.255]
Epoch 19/20: 100%|███████████████████████████████| 46/46 [00:50<00:00,  1.10s/it, grad=0.105, loss=0.3348, ssim_m=0.272]
Epoch 20/20: 100%|███████████████████████████████| 46/46 [00:50<00:00,  1.09s/it, grad=0.114, loss=0.3328, ssim_m=0.295]
Training complete. Checkpoints saved to: ./checkpoints_rgbfusion
